A	ACCELERATION
FSTF	FRONT SECONDARY TRANS FAILUE
FTIMER	TIMER USED TO COMPUTE FLOOR TIME     
FUP	PPT   FINE UP COUNTS (MSB)
FUP90	PPT90 FINE UP COUNTS (MSB)
FUP9LB	PT90  FINE UP COUNTS (LSB)
FUPLSB	PPT   FINE UP COUNTS (LSB)
GCCS1	GROUP-CAR COMM. SPARE 1
GCCS2	GROUP-CAR COMM. SPARE 2
GCCS3	GROUP-CAR COMM. SPARE 3
GCCS4	GROUP-CAR COMM. SPARE 4
GCCS5	GROUP-CAR COMM. SPARE 5
GCCS6	GROUP-CAR COMM. SPARE 6
GCF	GROUP-CAR COMM. FAILURE
GD0	GROUP DIRECTIVE 0
GDS	GATE DOOR SWITCH (1=CLOSED)
GDSFLG	"DOORS FAILED TO CLOSE IN MLS 7,8,9"
GEP	GROUP EMERGENCY POWER
GES	GROUP EMERGENCY SERVICE
GETSA1	GETPOS SAVE AREA
GETSA2	GETPOS SAVE AREA
GFS	GENERATOR FIELD AND BRAKE SWITCH
GFSES	GENERATOR FIELD RELAY EXCITATION
GHD	GROUP HIGHER DEMAND
GLD	GROUP LOWER DEMAND
GMGT	GROUP MG TIME OUT
GN	GONG
GO	START SIGNAL
GOTDZI	GOT DOOR ZONE INTERUPT
GOTP9A	GOT A INTERUPT
GOTPPB	GOT PPT  B  INTERRUPT
GOUT	GROUP COMM. DATA POINTER
GOVTMP	GROUP OVERTEMP
GPALC	CAR PARKED AT EMERGENCY LANDING
GPF	GROUP POWER FAILURE
GR0	GROUP RESPONSE 0
GRPIN	GROUP COMM. INPUT
GRPOUT	GROUP COMM. OUTPUT
GSECU	GROUP SECURITY
H	MAIN OPERATION RELAY(H) STATE
HCC	HARDWARE COARSE POS COUNTS/UP-DOWN/
HCC90	PPT90 HARDWARE COARSE POS COUNTS
HD	HIGHER DEMAND
HES	EMERGENCY SERVICE PHASE II
HESS	REQUESTED HE STATE
HFC	HARDWARE FINE POS COUNTS/UP-DOWN/
HFC90	PPT90 HARDWARE FINE POS COUNTS
HGN	HALL GONG
HI	HALL INTERVAL (SECS)
HL	HALL LANTERN
HLR4	HEAVY LOAD RELAY STATE
HLRE	HEAVY LOAD RELAY EXCITATION
HLX	HALL LANTERN X MATRIX
HLX1	HALL LANTERN X MATRIX
HLX10	HALL LANTERN X MATRIX
HLX11	HALL LANTERN X MATRIX
HLX12	HALL LANTERN X MATRIX
HLX2	HALL LANTERN X MATRIX
HLX3	HALL LANTERN X MATRIX
HLX4	HALL LANTERN X MATRIX
HLX5	HALL LANTERN X MATRIX
HLX6	HALL LANTERN X MATRIX
HLX7	HALL LANTERN X MATRIX
HLX8	HALL LANTERN X MATRIX
HLX9	HALL LANTERN X MATRIX
HLY	HALL LANTERN Y MATRIX
HLY1	HALL LANTERN Y MATRIX
HLY10	HALL LANTERN Y MATRIX
HLY11	HALL LANTERN Y MATRIX
HLY12	HALL LANTERN Y MATRIX
HLY2	HALL LANTERN Y MATRIX
HLY3	HALL LANTERN Y MATRIX
HLY4	HALL LANTERN Y MATRIX
HLY5	HALL LANTERN Y MATRIX
HLY6	HALL LANTERN Y MATRIX
HLY7	HALL LANTERN Y MATRIX
HLY8	HALL LANTERN Y MATRIX
HLY9	HALL LANTERN Y MATRIX
HR	HALL CALL RESET
HRVD	GPIO RVD
HS	HALL STOP
HSS	HEAT & SMOKE SENSOR SIGNAL
HVD	HEAVY DOOR RELAY
IADD	ARMATURE CURRENT ANALOG
IAM	ISTALLATION AND MAINTENANCE
IAMTIM	ISTALLATION AND MAINTENANCE TIMER
IBK	FEEDBACK BRAKE CURRENT
IBKF	FILTERED BRAKE CURRENT
